"population","meanagegap","sdagegap","eyecap","transmission","Y35.mean","Y35.low","Y35.high"
100,1,2,1000,0,0.0214626677851708,0,0.0688073394495413
100,1,2,1000,1,0.209187211221213,0.0588235294117647,0.286666666666667
100,1,2,300,0,0.0162560446315161,0,0.0572916666666667
100,1,2,300,1,0.189657372375362,0.00571428571428571,0.292079207920792
100,1,3,1000,0,0.0215913928369845,0,0.0699588477366255
100,1,3,1000,1,0.26537784167179,0.145569620253165,0.371951219512195
100,1,3,300,0,0.0159963851741499,0,0.0463917525773196
100,1,3,300,1,0.23818934518676,0.00947867298578199,0.348837209302326
100,1,5,1000,0,0.0149288933605055,0,0.0497237569060773
100,1,5,1000,1,0.298784861457432,0.198795180722892,0.387978142076503
100,1,5,300,0,0.0179180692761369,0,0.0657276995305164
100,1,5,300,1,0.275826185011505,0.0103626943005181,0.385185185185185
100,2,1,1000,0,0.00926045609320693,0,0.0263157894736842
100,2,1,1000,1,0.110385068889,0.00602409638554217,0.2
100,2,1,300,0,0.00827633168014822,0,0.0245398773006135
100,2,1,300,1,0.0632946557963385,0.00537634408602151,0.152941176470588
100,2,2,1000,0,0.015004962933576,0,0.0446927374301676
100,2,2,1000,1,0.2178428541081,0.0101522842639594,0.340782122905028
100,2,2,300,0,0.0134079592271285,0,0.0526315789473684
100,2,2,300,1,0.192156001100315,0.00518134715025907,0.309859154929577
100,2,3,1000,0,0.0112048035992996,0,0.0326797385620915
100,2,3,1000,1,0.215459630279932,0.00595238095238095,0.355263157894737
100,2,3,300,0,0.0267886452347594,0,0.0759493670886076
100,2,3,300,1,0.246560040576037,0.0160427807486631,0.357541899441341
100,2,5,1000,0,0.0138820956861793,0,0.0396039603960396
100,2,5,1000,1,0.277005252568671,0.0108108108108108,0.38562091503268
100,2,5,300,0,0.0142006007202668,0,0.0508474576271186
100,2,5,300,1,0.247203160308269,0.00588235294117647,0.377245508982036
100,5,1,1000,0,0.00743969449480414,0,0.0248447204968944
100,5,1,1000,1,0.0663185965985898,0,0.15748031496063
100,5,1,300,0,0.00991181904202573,0,0.0306122448979592
100,5,1,300,1,0.074761083046069,0.00595238095238095,0.165745856353591
100,5,2,1000,0,0.0156890796983964,0,0.0591397849462366
100,5,2,1000,1,0.164741010857718,0.00454545454545455,0.257309941520468
100,5,2,300,0,0.0365502129114777,0,0.103734439834025
100,5,2,300,1,0.234842053880694,0.122727272727273,0.390438247011952
100,5,3,1000,0,0.0124518873864064,0,0.0398009950248756
100,5,3,1000,1,0.222987654511898,0.00561797752808989,0.344370860927152
100,5,3,300,0,0.0167688242878184,0,0.050761421319797
100,5,3,300,1,0.230334472222599,0.00873362445414847,0.349112426035503
100,5,5,1000,0,0.0109633867617146,0,0.0394088669950739
100,5,5,1000,1,0.235435632798893,0.00671140939597315,0.382978723404255
100,5,5,300,0,0.0133766752650615,0,0.0426829268292683
100,5,5,300,1,0.270160875402047,0.0176470588235294,0.373015873015873
2000,0,1,1000,0,0.0133822981983703,0.00714678394722375,0.0194259205566831
2000,0,1,1000,1,0.238708299762245,0.202369516490554,0.264687100893997
2000,0,1,300,0,0.0135298616063466,0.00744211686879824,0.0208447613823368
2000,0,1,300,1,0.227605128164383,0.196808510638298,0.256889452011403
2000,0,2,1000,0,0.0139848480177601,0.00776483638380477,0.0218377765173001
2000,0,2,1000,1,0.287276709000891,0.262681744749596,0.314457028647568
2000,0,2,300,0,0.0138075090066933,0.00827389443651926,0.018957345971564
2000,0,2,300,1,0.273689396343259,0.249178172255095,0.299739073711676
2000,0,3,1000,0,0.0137871715579438,0.00869817338358945,0.0202286719437115
2000,0,3,1000,1,0.302575574547547,0.281933662667608,0.324035812672176
2000,0,3,300,0,0.014055392463526,0.00715307582260372,0.0213119291447551
2000,0,3,300,1,0.294929930072188,0.273789649415693,0.315407456285054
2000,0,5,1000,0,0.0129673784682241,0.00714081690945444,0.0195356738391846
2000,0,5,1000,1,0.319109806890101,0.297026279391425,0.338977423638778
2000,0,5,300,0,0.0149190523846978,0.00848617574596222,0.0233297985153765
2000,0,5,300,1,0.31764160334567,0.297747306562194,0.336420774065498
2000,10,1,1000,0,0.0141853619247488,0.00679501698754247,0.0214007782101167
2000,10,1,1000,1,0.236776454192993,0.215046819502745,0.256376716808371
2000,10,1,300,0,0.0121300138037877,0.00597439544807966,0.0199170124481328
2000,10,1,300,1,0.222104681899622,0.202860858257477,0.239948947032546
2000,10,2,1000,0,0.0174774015555246,0.00950251537171604,0.0265210608424337
2000,10,2,1000,1,0.250559878259613,0.230263157894737,0.268075272367118
2000,10,2,300,0,0.0172847442461257,0.00927152317880795,0.0273385151433932
2000,10,2,300,1,0.234106728038802,0.219363139273078,0.251913265306122
2000,10,3,1000,0,0.0134560262905725,0.00826681870011402,0.0201242971293282
2000,10,3,1000,1,0.275583848658531,0.253212921153178,0.295029961226648
2000,10,3,300,0,0.0169278083161885,0.009506205439662,0.0252999478351591
2000,10,3,300,1,0.263152043048834,0.245165315034311,0.282220753469927
2000,10,5,1000,0,0.0152135915083903,0.00776439089692102,0.0235036895326592
2000,10,5,1000,1,0.301194650602164,0.277002919234512,0.323255813953488
2000,10,5,300,0,0.0153209244658632,0.00797024442082891,0.0242157402311502
2000,10,5,300,1,0.301349921414055,0.278964401294498,0.32340284673949
200,0,1,1000,0,0.0133909741555842,0,0.0338541666666667
200,0,1,1000,1,0.174891873254687,0.0746666666666667,0.26219512195122
2000,1,1,1000,0,0.0133261364694259,0.00790861159929701,0.0210173621687481
2000,1,1,1000,1,0.224391157549405,0.192518542405676,0.258247250916361
2000,1,1,300,0,0.0113312595750086,0.00673105062920691,0.0174593618302228
2000,1,1,300,1,0.221717038910621,0.182445759368836,0.259320356318047
2000,1,2,1000,0,0.0144994715961446,0.00843644544431946,0.0237618093329516
2000,1,2,1000,1,0.290329210853939,0.270379067427038,0.310963455149502
2000,1,2,300,0,0.0131604430202128,0.00815850815850816,0.0193897918448817
2000,1,2,300,1,0.269672447210953,0.243101182654402,0.293658867412682
200,0,1,300,0,0.0115091676480958,0,0.0307692307692308
200,0,1,300,1,0.1344196010946,0.00806451612903226,0.232142857142857
2000,1,3,1000,0,0.0157693364760688,0.00956399437412096,0.0225708780622075
2000,1,3,1000,1,0.30458731704402,0.284520227348713,0.327004909983633
2000,1,3,300,0,0.0126884321513872,0.00741585852823731,0.0183823529411765
2000,1,3,300,1,0.293988602106125,0.272697795071336,0.318385650224215
2000,1,5,1000,0,0.0131735596200259,0.00719424460431655,0.0206243032329989
2000,1,5,1000,1,0.318389681211832,0.295454545454545,0.340886033141698
2000,1,5,300,0,0.0143725764930625,0.00909090909090909,0.0206953642384106
2000,1,5,300,1,0.319044036225142,0.301304049416609,0.339858793324775
200,0,2,1000,0,0.0178912568901361,0,0.0512195121951219
200,0,2,1000,1,0.238731196225509,0,0.327272727272727
2000,2,1,1000,0,0.0149129033506129,0.00910064239828694,0.0232163080407701
2000,2,1,1000,1,0.240932112577346,0.214509068167605,0.276368491321762
2000,2,1,300,0,0.0120792255091816,0.00816802800466744,0.018213356461405
2000,2,1,300,1,0.21053703360463,0.180931403398364,0.24159402241594
2000,2,2,1000,0,0.0169208403091963,0.00854229815376137,0.0247797356828194
2000,2,2,1000,1,0.289584776293386,0.268685567010309,0.310377962844331
2000,2,2,300,0,0.0133164860246601,0.00786075238629983,0.0195592286501377
2000,2,2,300,1,0.275087842534174,0.2511139401655,0.299935773924213
200,0,2,300,0,0.0143677554820357,0,0.0433734939759036
200,0,2,300,1,0.218586507050487,0.0833333333333333,0.316770186335404
2000,2,3,1000,0,0.0165014898220238,0.00903954802259887,0.0246498599439776
2000,2,3,1000,1,0.299917383131113,0.281145902731512,0.32355915065723
2000,2,3,300,0,0.0162015975668341,0.0101631452259963,0.023960341503718
2000,2,3,300,1,0.292755872381035,0.273801707156927,0.312982220731298
2000,2,5,1000,0,0.0146819140475377,0.00776914539400666,0.0222723428249225
2000,2,5,1000,1,0.318462530677228,0.301310043668122,0.340596714716728
2000,2,5,300,0,0.0135132433107796,0.00813236118900729,0.0201624194903388
2000,2,5,300,1,0.314800394512446,0.294651866801211,0.336852861035422
200,0,3,1000,0,0.0130911475962965,0,0.0354430379746835
200,0,3,1000,1,0.277144794391688,0.203966005665722,0.358778625954198
200,0,3,300,0,0.0152638840969967,0,0.0443349753694581
200,0,3,300,1,0.26832280048196,0.0125786163522013,0.353623188405797
200,0,5,1000,0,0.0168975175124939,0,0.0498687664041995
200,0,5,1000,1,0.293329421431941,0.120448179271709,0.366548042704626
2000,5,1,1000,0,0.0145499798288933,0.0071921749136939,0.0214368482039397
2000,5,1,1000,1,0.24517605632769,0.216824258232801,0.273575796588349
2000,5,1,300,0,0.00921058048901392,0.00501031535514294,0.0153489719084854
2000,5,1,300,1,0.176435123564109,0.136363636363636,0.209645669291339
2000,5,2,1000,0,0.0148702330780416,0.0082083215397679,0.0226500566251416
2000,5,2,1000,1,0.277017925448114,0.25584333543904,0.298532923916752
2000,5,2,300,0,0.0165814892264072,0.00895279435702659,0.02649549303469
2000,5,2,300,1,0.264692065716306,0.246419270833333,0.285025706940874
200,0,5,300,0,0.0315497240086478,0,0.0903083700440529
200,0,5,300,1,0.285922534033304,0.00223713646532438,0.382636655948553
2000,5,3,1000,0,0.013932695849428,0.00756090730887706,0.0207481005260082
2000,5,3,1000,1,0.293083228351532,0.269917582417582,0.311657681940701
2000,5,3,300,0,0.0135002163917267,0.00726532984597501,0.0222911963882619
2000,5,3,300,1,0.287116980137001,0.268784153005464,0.303805774278215
2000,5,5,1000,0,0.0143787362274044,0.00880681818181818,0.0208905992303463
2000,5,5,1000,1,0.313622681537247,0.294358974358974,0.33322203672788
2000,5,5,300,0,0.0157745998678698,0.00880330123796424,0.0239473684210526
2000,5,5,300,1,0.307058914542078,0.288053949903661,0.329
200,10,1,1000,0,0.0115558668653206,0,0.0320855614973262
200,10,1,1000,1,0.145616274487537,0.003125,0.228486646884273
200,10,1,300,0,0.0106898872142696,0,0.0301204819277108
200,10,1,300,1,0.156315705553903,0.00271739130434783,0.242753623188406
200,10,2,1000,0,0.0135595746694416,0,0.0444444444444444
200,10,2,1000,1,0.214145470550974,0.0182291666666667,0.296
200,10,2,300,0,0.00976960241285169,0,0.0315186246418338
200,10,2,300,1,0.186086667210707,0,0.277027027027027
200,10,3,1000,0,0.0128819259527009,0,0.0470588235294118
200,10,3,1000,1,0.241102579247764,0.0246575342465753,0.317757009345794
200,10,3,300,0,0.0236614066215464,0.00223214285714286,0.0577889447236181
200,10,3,300,1,0.24709534747013,0.182795698924731,0.350299401197605
200,10,5,1000,0,0.016638788282047,0,0.0552486187845304
200,10,5,1000,1,0.281032937760635,0.0354430379746835,0.358757062146893
200,10,5,300,0,0.0153086131893141,0,0.0449438202247191
200,10,5,300,1,0.288228414816954,0.207482993197279,0.363636363636364
200,1,1,1000,0,0.0109657961700189,0,0.0285714285714286
200,1,1,1000,1,0.153984064907059,0.0028735632183908,0.25
200,1,1,300,0,0.00897583941854112,0,0.0242825607064018
200,1,1,300,1,0.0812270902726762,0.0268096514745308,0.1375
200,1,2,1000,0,0.00951348676025622,0,0.0227920227920228
200,1,2,1000,1,0.198240333557273,0.0163487738419619,0.289940828402367
200,1,2,300,0,0.0112651477930399,0,0.0260586319218241
200,1,2,300,1,0.18804318957848,0.00626959247648903,0.297674418604651
200,1,3,1000,0,0.0192473682677333,0,0.0554089709762533
200,1,3,1000,1,0.275516409207495,0.157608695652174,0.360230547550432
200,1,3,300,0,0.0136228808118472,0,0.0368421052631579
200,1,3,300,1,0.25693840327319,0.0257234726688103,0.357377049180328
200,1,5,1000,0,0.0133000163288301,0,0.03601108033241
200,1,5,1000,1,0.288677781031772,0.00251889168765743,0.36518771331058
200,1,5,300,0,0.0128612422042578,0,0.0376344086021505
200,1,5,300,1,0.279675636263918,0.0028169014084507,0.370030581039755
200,2,1,1000,0,0.0147927488150315,0,0.0362116991643454
200,2,1,1000,1,0.150921755038486,0.0398860398860399,0.238670694864048
200,2,1,300,0,0.00935553153714128,0,0.0274725274725275
200,2,1,300,1,0.112158100599985,0.00284900284900285,0.216463414634146
200,2,2,1000,0,0.0136021490859525,0,0.0349462365591398
200,2,2,1000,1,0.238912986733451,0.131067961165049,0.316498316498317
200,2,2,300,0,0.0149057672695353,0,0.0398860398860399
200,2,2,300,1,0.235143114734226,0.1375,0.31055900621118
200,2,3,1000,0,0.0132692756775906,0,0.0394366197183099
200,2,3,1000,1,0.261499672128908,0.0445103857566766,0.343971631205674
200,2,3,300,0,0.0179194274668126,0,0.0532994923857868
200,2,3,300,1,0.273411477190087,0.209090909090909,0.336448598130841
200,2,5,1000,0,0.0121919263872808,0,0.0380116959064327
200,2,5,1000,1,0.293679324794116,0.0165289256198347,0.366477272727273
200,2,5,300,0,0.0136398745350048,0,0.0398936170212766
200,2,5,300,1,0.286175864692303,0.00520833333333333,0.365384615384615
200,5,1,1000,0,0.0156164187637035,0,0.036697247706422
