"population","meanagegap","sdagegap","eyecap","transmission","Y35.mean","Y35.low","Y35.high"
1000,1,1,1000,0,0.000894293063025192,0.000286740796970787,0.00211135211228612
1000,1,1,1000,1,0.0195820692685865,0.0122646739235305,0.0283207878891293
1000,1,1,300,0,0.000708009087119646,9.4675891323066e-05,0.0018083596576684
1000,1,1,300,1,0.0153260172935521,0.00908386471474796,0.0224887239358731
1000,1,2,1000,0,0.000725014358746171,9.96705925822499e-05,0.00195186543927337
1000,1,2,1000,1,0.0242301924477052,0.0185645866935808,0.0312410465212279
1000,1,2,300,0,0.00125149054371528,9.67868226564112e-05,0.00251448895972496
1000,1,2,300,1,0.0195322312192242,0.0133892212796467,0.0256600150243171
100,0,1,300,0,0.000338062800795385,0,0.00175694525300328
100,0,1,300,1,0.00336357886409939,0,0.0131396558239199
1000,1,3,1000,0,0.000687614400926092,9.99374500844493e-05,0.00177147298537579
1000,1,3,1000,1,0.0248379066268354,0.0181011975312772,0.0321055734423905
1000,1,3,300,0,0.00105015449527625,0.00019246815089884,0.00243097879163242
1000,1,3,300,1,0.0220350587361436,0.0151253642700917,0.0306215906025301
1000,1,5,1000,0,0.000743479938046712,0.000100136014834623,0.00151865786773125
1000,1,5,1000,1,0.027162564150163,0.020326907315061,0.0365109297978892
1000,1,5,300,0,0.000867333157599152,9.79911067303812e-05,0.00216077078530111
1000,1,5,300,1,0.0254674226919574,0.0194592633041009,0.0333366506420644
100,0,2,1000,0,0.00102360984408089,0,0.00470321858845003
100,0,2,1000,1,0.0150143697950494,0,0.0358742134672082
1000,2,1,1000,0,0.000949982619351452,0.00019485510295445,0.00222350970847497
1000,2,1,1000,1,0.0188596850513481,0.009394303895118,0.027300135717913
1000,2,1,300,0,0.000608794936636495,0,0.00155446959302598
1000,2,1,300,1,0.0190564759702635,0.0131073632968422,0.0276804349690183
1000,2,2,1000,0,0.00077366566909964,0.000100190367356811,0.00173718145512677
1000,2,2,1000,1,0.0231555062097055,0.0169921076629812,0.0301961500183669
1000,2,2,300,0,0.000471103064615519,0,0.00134473016630254
1000,2,2,300,1,0.0278648954050764,0.0202794817909319,0.0373011139443286
100,0,2,300,0,0.000861824056107955,0,0.00461706345254789
100,0,2,300,1,0.0147862614209648,0,0.0342778005965151
1000,2,3,1000,0,0.000553057197358915,0,0.00123317567333992
1000,2,3,1000,1,0.0251140573510687,0.0183243810936113,0.033014889024402
1000,2,3,300,0,0.000705125984462495,9.79844695625755e-05,0.00167877489846022
1000,2,3,300,1,0.0256607915951526,0.0184773704295335,0.0337838650666138
1000,2,5,1000,0,0.000929351390957975,0.000194516426530375,0.00177364136511948
1000,2,5,1000,1,0.0241404912706067,0.0176021777605007,0.031175080385145
1000,2,5,300,0,0.00095904442169952,0.000100554257212301,0.00221963387971125
1000,2,5,300,1,0.0236602779353532,0.0169453715950363,0.0328737466177264
100,0,3,1000,0,0.00073091914968997,0,0.00427589201818171
100,0,3,1000,1,0.0228512541184012,0,0.0483103379260975
100,0,3,300,0,0.000354268802700235,0,0.00194002621886977
100,0,3,300,1,0.016382948256837,0,0.0404547231148475
100,0,5,1000,0,0.00148620551839062,0,0.00702391012831291
100,0,5,1000,1,0.0221224929248854,0.00512801659291279,0.0437262305914826
1000,5,1,1000,0,0.000914584400091471,0,0.00224241671444295
1000,5,1,1000,1,0.0187250429201542,0.0133884656675604,0.0252977857373618
1000,5,1,300,0,0.00049977903468014,0,0.00142507052570751
1000,5,1,300,1,0.0134503717805646,0.00725065245700926,0.0193237320280627
1000,5,2,1000,0,0.00066924367218881,0,0.00153953719620985
1000,5,2,1000,1,0.0224162480067558,0.0158648314566143,0.0278779701874956
1000,5,2,300,0,0.000781585257025786,0,0.00213686104757481
1000,5,2,300,1,0.0199835326518495,0.0142620721268997,0.0259903793205498
100,0,5,300,0,0.00175542880393776,0,0.0077497103885576
100,0,5,300,1,0.0199767565373235,0.000937237249996924,0.0401103606056342
1000,5,3,1000,0,0.00114667432219608,0.00020005895507985,0.00264552155719231
1000,5,3,1000,1,0.0212365607343904,0.0142460364348986,0.0294488095341246
1000,5,3,300,0,0.00111132508834037,9.85208687845771e-05,0.00227796905963827
1000,5,3,300,1,0.0183192185535551,0.0128264621333831,0.0258985136668588
1000,5,5,1000,0,0.000909900465028726,9.90888993477808e-05,0.00238347636875126
1000,5,5,1000,1,0.0236095214791001,0.0174829641662438,0.030490715073931
1000,5,5,300,0,0.000830623223384573,0.000100667163015601,0.00176222408684182
1000,5,5,300,1,0.0244092059723572,0.0181365220144746,0.0327534449136944
100,10,1,1000,0,0.00022871727455431,0,0.00172383149137887
100,10,1,1000,1,0.00195341507995122,0,0.00642224855624868
100,10,1,300,0,0.000807625182799624,0,0.0040383824627444
100,10,1,300,1,0.00895375351311014,0,0.0247587057862993
100,10,2,1000,0,0.000730206394895195,0,0.00414773192348165
100,10,2,1000,1,0.0121906385719741,0,0.0352446553759561
100,10,2,300,0,0.00115141614994974,0,0.0058697743604852
100,10,2,300,1,0.0125318532103169,0,0.037123381104815
100,10,3,1000,0,0.00146233052632428,0,0.00767253985911263
100,10,3,1000,1,0.0174952426763133,0,0.0435773799576912
100,10,3,300,0,0.000514102851445325,0,0.00297915066204579
100,10,3,300,1,0.0168059441282456,0,0.0461527980120067
100,10,5,1000,0,0.00111659996695468,0,0.00527819984523393
100,10,5,1000,1,0.0239289930964617,0,0.0595100611178826
